canonical_smiles,molecule_chembl_id
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)cn2)cc1,CHEMBL424758
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)nc2)cc1,CHEMBL374456
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3cncnc3)cc2)cc1,CHEMBL221149
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccncc3)cc2)cc1,CHEMBL375526
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3cccnc3)cc2)cc1,CHEMBL221151
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccn3)cc2)cc1,CHEMBL222773
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(NC(=O)c3ccnc(OC)c3)cc2)cc1,CHEMBL387316
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(NC(=O)c3cnccn3)cc2)cc1,CHEMBL220277
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(NC(=O)C3CCCNC3)cc2)cc1,CHEMBL385329
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(NC(=O)C3CCNCC3)cc2)cc1,CHEMBL221150
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-n3ccc4ccccc43)cc2)cc1,CHEMBL436306
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-n3cccc3)cc2)cc1,CHEMBL220370
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(CC(=O)N(C)Cc4ccccc4)cc3)cc2)cc1,CHEMBL387315
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(C(=O)N(C)C)cc3)cc2)cc1,CHEMBL219783
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(CC(=O)N4CCOCC4)cc3)cc2)cc1,CHEMBL207616
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cc2)cc1,CHEMBL387314
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(C(=O)N4CCSCC4)cc3)cc2)cc1,CHEMBL219994
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(CC(=O)NCc4ccccc4)cc3)cc2)cc1,CHEMBL220689
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(OCCO)cc3)cc2)cc1,CHEMBL220942
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(CC(=O)O)cc3)cc2)cc1,CHEMBL220823
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(CC(=O)OC)cc3)cc2)cc1,CHEMBL220323
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)cc2)cc1,CHEMBL220718
CCCCCc1ccc(C(=O)N(CCN(CC)CCN(CC)CC)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL220322
CCCCCc1ccc(C(=O)N(CCN(CCO)Cc2ccccc2)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL220562
CCCCCc1ccc(C(=O)N(CCN2CCOCC2)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL220732
CCCCCc1ccc(C(=O)N(CCN2CCC(CCCc3ccccc3)CC2)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL375351
CCCCCc1ccc(C(=O)N(CCN2CCC(Cc3ccccc3)CC2)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL375125
CCCCCc1ccc(C(=O)N(CCN2CCCCC2)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL223290
CCCCCc1ccc(C(=O)N(CCN(C(C)C)C(C)C)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL222895
CCCCCc1ccc(C(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL373671
CCCCCc1ccc(C(=O)N(CCN(CCC)CCC)Cc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,CHEMBL220667
Cc1cccc(C(=O)NNc2c3ccccc3nc3c(C)c(C)ccc23)c1,CHEMBL404394
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,CHEMBL296588
Cc1ccc2c(NNC(=O)c3ccccc3O)c3ccccc3nc2c1C,CHEMBL257594
CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,CHEMBL511879
CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,CHEMBL511879
O=C(N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1Cl)c1ccc(F)cc1Cl,CHEMBL541232
O=C(CC1CCCCC1)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)CC1CCCCC1,CHEMBL560343
COc1ccccc1C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)c1ccccc1OC,CHEMBL564804
CC(C)C[C@H](NC(=O)CC1CCCCC1)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)CC1CCCCC1,CHEMBL556236
Cc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)C2CCOC2)cn1,CHEMBL556509
O=C(N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1Cl)c1ccc2c(c1)OCCO2,CHEMBL555902
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCC(=O)N[C@H](C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc1cc(OC)cc2cccnc12)C(C)C)C(C)CC,CHEMBL555659
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc(CC(=O)N[C@H](C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc2cc(OC)cc3cccnc23)C(C)C)cc1)C(C)CC,CHEMBL538889
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc2cc(CC(=O)N[C@H](C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)C(C)C)ccc2c1)C(C)CC,CHEMBL563456
